
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0599
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0600
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0601
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0612
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0943
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1020
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1021
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1057
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1058
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1059
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1517
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-1942
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2025
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2105
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2181
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2241
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2242
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2243
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2244
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2279
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2280
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2451
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2631
